Territorial emissions in tCO₂/person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,Albania,Algeria,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,"Bonaire, Saint Eustatius and Saba",Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Cayman Islands,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo,Cook Islands,Costa Rica,Croatia,Cuba,Curaçao,Cyprus,Czech Republic,Côte d'Ivoire,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faeroe Islands,Falkland Islands (Malvinas),Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macao,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mexico,Micronesia (Federated States of),Moldova,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,North Korea,North Macedonia,Norway,Occupied Palestinian Territory,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Republic of South Sudan,Romania,Russian Federation,Rwanda,Réunion,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Korea,Spain,Sri Lanka,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States of America,Uruguay,Uzbekistan,Vanuatu,Venezuela,Vietnam,Wallis and Futuna Islands,Western Sahara,Yemen,Zambia,Zimbabwe
1960,0.048000189,1.181751402,0.53984854,,0.102469669,,0.662064978,2.396320072,1.656331336,11.32727805,8.500758313,4.368731776,4.595080121,3.584017467,3.579852014,0.043890015,0.740528919,4.798262238,9.98033314,0.481034539,0.064172681,3.748869747,,0.270747387,16.25162803,1.652271436,0,0.64099313,0,3.906685726,2.822020853,0.009192059,0.0132639,0.042315718,0.052981784,10.76064377,0.104618083,,0.052351333,0.018146471,1.655219595,1.221087875,1.044800228,0.056412046,0.211709275,,0.364687863,1.377165788,1.883357104,70.91655621,1.513218661,10.38356653,0.124481585,0.151768481,6.493075646,0.468978357,0.18511595,0.315310303,0.381450786,0.593045945,0.222665415,0.08222898,,12.04107502,0.016174549,1.716460737,,0.483250838,3.405487777,6.485257473,,0.431815771,0.256944715,0.045840225,1.449786893,11.14028246,0.211516731,,1.105478661,6.957415017,0.234440985,,0.327985493,0.116688002,0.031699176,1.153027151,0.073204262,0.296062238,0.947965291,4.540726323,6.906234692,0.24963327,0.241960884,1.746642613,1.16535995,3.973046534,3.395983802,2.205334346,0.894095039,2.461228987,0.876410484,10.3590802,0.312729191,0,,25.52919798,3.760562681,0.037977284,4.448785216,1.432629699,,0.145009877,0.485288573,0.9378339,5.158320594,36.62944667,0.289784989,0.078721285,0.121055011,0.536330983,,0.02261356,1.009246863,,,0.043698225,0.265323645,1.738507896,,4.789154579,1.322626068,1.124414962,0,0.308926917,0.277297586,0.124986781,,,0.007927662,6.389702637,10.59924172,4.842874715,0.296789824,0.008381009,0.075747287,,2.040930136,2.039021642,3.653979316,,,0.259527818,,0.883912798,0.090418026,0.160463029,0.802638012,0.292243399,6.763055101,0.924686593,4.833585269,0.038930793,2.892733604,7.387599267,0.023540521,,0,,0.15997555,7.439593909,0.130637858,0.129315745,0.161556777,0.64202606,0.25277582,2.382937114,0,0.310466647,0.869601063,7.670069557,2.779995386,0.082374101,0.029355579,5.922571922,0.48572038,1.60659709,0.230655126,0.14961937,1.610866034,0.095564604,6.562283336,3.659440873,0.698091748,1.081101801,2.210983906,0.082455909,0.139472798,,0.039937821,0.163018331,3.044283601,0.410943525,0.610610745,7.443141671,,,0.055273568,6.567906364,0.082382744,11.11508309,16.44439914,1.705996115,4.358880123,0,6.989976752,0.228736309,,,0.655124377,1.396184559,1.56138097
1961,0.055835288,1.287958311,0.522123,,0.083382142,,0.846866388,2.4721995,1.651610678,11.56671624,8.281935416,4.491467355,4.590122547,4.541325614,10.59890998,0.044145678,0.83094421,4.888517147,10.1105539,0.390797487,0.050266226,4.100585232,,0.274893097,16.69915363,1.699138101,0,0.65227658,0,3.395562801,3.255601278,0.018875572,0.016952228,0.050451449,0.054252065,10.61639788,0.102212414,,0.051413617,0.016613244,1.738694791,0.870844961,1.124449047,0.055342695,0.246873128,,0.351670107,1.433100777,1.640260224,72.98891159,1.453197953,11.23304604,0.143766033,0.150281205,6.871649188,0.492528285,0.182001821,0.3017825,0.346037583,0.615034662,0.203673026,0.080745159,,12.26489832,0.01528745,3.285317598,,0.406577024,3.344526058,6.841373443,,0.674451513,0.317486603,0.053514962,1.469910998,11.3422596,0.189153821,,1.15034723,8.766861074,0.19264743,,0.333264856,0.172007117,0.050268647,1.251212629,0.074620107,0.344072324,1.042807042,4.880375693,6.0975746,0.263840923,0.286307825,1.660727245,1.199496358,4.400633415,3.560092955,2.496849701,1.278975137,2.965607905,1.09592666,10.32896365,0.298056408,0.151796996,,29.35969408,3.754369646,0.052313507,4.529596451,1.445263706,,0.138385672,0.807771376,1.001782108,5.25067344,36.5807819,0.38963016,0.068266171,0.100674372,0.580187385,,0.021631856,0.869482677,,,0.055279152,0.269544734,1.742550485,,4.81922875,1.376467867,1.1631211,0,0.312157721,0.380179547,0.116663842,,,0.007776834,6.50952271,10.55219032,4.834272832,0.303822447,0.015255945,0.089620643,,2.217645008,2.115167523,3.694049438,,,0.262417337,,0.949663689,0.098994337,0.186832117,0.823966492,0.296925157,6.927883954,1.020353684,4.019346314,0.039112187,2.99180402,7.513625557,0.030031306,,0,,0.197496793,9.677366924,0.128312283,0.156822462,0.159988356,0.828671673,0.241357353,2.473494882,0,0.123644581,1.262164799,8.205010326,2.889334814,0.107150168,0.029852712,6.010772323,0.544161553,1.745478612,0.232827105,0.147992012,1.542222334,0.010380456,6.475251151,3.746479091,0.64419196,1.101711683,2.202329139,0.068049663,0.151120642,,0.054563173,0.15840671,5.315319273,0.416557887,0.613724961,7.427848947,,,0.051852154,6.678476592,0.077966294,11.13509024,16.11992059,1.607401042,4.344545727,0,6.137365366,0.237294161,,,0.471729523,1.152059777,1.289190494
1962,0.076774043,1.34649213,0.480631265,,0.213550911,,1.79957199,2.551816551,1.678283136,12.50732155,8.486659887,4.750337602,4.667503415,5.743794782,9.172872478,0.047076727,1.107784814,5.072152927,10.61915561,0.723749324,0.052276981,3.586714019,,0.284409985,18.01814288,1.711639693,0,0.690898715,0.463680081,3.943646962,3.818538817,0.017112814,0.015227551,0.053167691,0.054575543,11.11518447,0.082579329,,0.042054471,0.026767955,1.968791391,0.691555776,1.163451675,0.054274245,0.214105658,,0.379810606,1.459437725,1.868762184,78.97997705,1.50495346,11.94105068,0.146622791,0.135017323,7.940152312,0.511501042,0.179537436,0.352468672,0.319747261,0.651960178,0.220660142,0.079224477,,12.71816113,0.017308212,3.353545176,,0.539707034,3.737679679,7.138103375,,0.533943144,0.16725693,0.060732637,1.517131853,11.90343742,0.196753499,,1.188272066,7.609172195,0.26702203,,0.317716911,0.181071206,0.068265698,1.120706046,0.07503882,0.317583462,1.105161282,5.022362509,6.565797769,0.283885722,0.246127587,1.655753913,1.205694006,4.659220701,3.833760816,2.915639043,1.257304332,3.042181784,1.120247375,10.49192252,0.313502188,0.222024723,,37.75509664,3.809972533,0.059371223,4.697153628,1.491036157,,0.211726971,0.682601193,1.007955403,5.448708721,36.08137514,0.512064675,0.074048538,0.094918475,0.573807654,,0.025338294,0.98303185,,,0.070307403,0.356173801,1.647835836,,4.947188221,1.885747358,1.178312072,0.307202146,0.247880712,0.281174827,0.126860691,,,0.008318831,7.055720451,6.494929613,4.503982004,0.34675624,0.017771703,0.089167781,,2.519386511,2.144004894,3.863667527,,,0.281756256,,0.994993685,0.095007976,0.197041685,0.922860753,0.342407314,7.155383839,1.043171716,4.222458613,0.041296407,3.399663735,7.789393295,0.026991881,,0,,0.19526129,6.684775998,0.126079626,0.152459576,0.158112773,1.401811724,0.234636746,2.512807424,0,0.136849253,1.468920016,8.639831966,2.939441459,0.104496128,0.035152524,6.037204882,0.633814427,1.931424166,0.249418846,0.153822872,1.715766361,,6.761844662,4.32767508,0.653708533,1.202541699,2.232704801,0.071940554,0.177989131,,0.051519737,0.153975458,8.204134001,0.418964796,0.744119401,7.546532407,,,0.053099409,6.91827194,0.123054602,11.1487595,16.45744315,1.545608945,4.400268106,0.589317308,6.174959293,0.270392367,,,0.675045964,1.078013749,1.207226668
1963,0.07717638,1.101836465,0.452752595,,0.205309914,,1.458548236,2.341914444,1.745039033,11.815398,8.792937863,5.14979509,4.851834067,5.331388204,6.64013208,0.052513776,0.807758347,5.38192931,11.37746399,0.630049969,0.04583254,3.341935484,,0.307294292,16.9165226,1.870448063,0,0.694770874,0.462684682,3.616410757,4.239448861,0.017591876,0.016156666,0.065674842,0.055356866,11.11753436,0.063920914,,0.04125629,0.028533194,2.002886782,0.667900313,1.233679291,0.053218169,0.205233678,,0.400961667,1.612023265,1.683726387,74.55411527,1.622921169,12.52006716,0.149858545,0.138800139,8.68821478,0.675253404,0.236268962,0.343390914,0.356412586,0.736064662,0.372982717,0.090623211,,13.48179068,0.017962829,3.520700862,,0.547866375,4.273923662,7.17314633,,0.717157987,0.137591252,0.067512259,1.600274592,12.64098691,0.230898886,,1.432896048,9.180400891,0.151276811,,0.339588124,0.1877482,0.079946022,0.991698123,0.060389204,0.313347221,1.239854653,5.576314246,7.019583777,0.298041599,0.237208218,1.775860229,1.212980026,4.761641719,3.795373122,3.25498533,1.405918768,3.340323732,1.245648151,10.90047569,0.328025112,0.360771957,,40.45717656,3.948869851,0.064472451,4.979165353,1.533240241,,0.290327561,0.916690808,1.064964539,5.781961005,35.4117261,0.54881261,0.084148212,0.089045487,0.679305542,,0.031571888,1.232734744,,,0.096496176,0.28757315,1.65804623,,5.198558021,1.488259001,1.294757378,0.308885517,0.310693609,0.230117117,0.113477899,,,0.009174682,7.621796032,6.909086852,4.809596437,0.42981805,0.023003654,0.111738037,,2.631332986,2.361074548,4.081297044,,,0.316273374,,0.959159695,0.120457144,0.201192513,0.919959344,0.369537005,7.546928663,1.123926238,120.3827282,0.046027354,3.675839007,8.265489044,0.026406702,,0,,0.231686111,7.333867094,0.165346691,0.178129254,0.10428051,1.501366935,0.2414814,2.76868018,0.159429118,0.152492016,1.873117748,9.005243998,3.242338808,0.1018747,0.033070399,6.081581447,0.755511214,1.871475188,0.240693372,0.168731173,1.774885412,,7.246639594,5.104838274,0.714791849,1.238394813,2.312792439,0.073212428,0.191027558,,0.061185112,0.149671165,1.868751796,0.448680638,0.759018149,7.835848832,,,0.051996068,7.331530647,0.140020127,11.27644285,16.93197753,1.645026794,4.555878342,0.468409091,6.197791534,0.256437921,,,0.497679515,1.003823242,1.125054483
1964,0.089631633,1.0337027,0.463334767,,0.215557395,,1.561434611,2.564434822,1.802325073,11.3493073,9.301871814,5.385150009,5.006878018,7.814245055,8.561689721,0.052393272,0.758083721,5.669641393,11.07474097,0.828047007,0.053209335,4.381250544,,0.367293779,16.0838063,2.083205648,0,0.688358579,0.921876966,3.311338723,5.23594532,0.021654373,0.015703439,0.056402687,0.060669064,12.29295729,0.123763549,,0.040448332,0.030221612,1.983570397,0.653762662,1.222277378,0.052177628,0.227775748,,0.434692044,1.814978566,1.806945484,71.45127195,1.633036003,12.97487289,0.176358505,0.116351342,9.14513643,0.81861188,0.23321611,0.465446246,0.41330948,0.84895257,0.397619517,0.088792877,,14.16966901,0.016886896,3.373510784,,0.933429112,5.017569858,7.742247841,,0.69283133,0.352944445,0.06566676,1.675112959,12.84640431,0.215805982,,1.546780333,8.468608901,0.225215904,,0.383856085,0.18535774,0.099281772,1.019770205,0.071540761,0.309065099,1.200678396,6.163746046,6.915042703,0.285217554,0.226747263,1.984210032,1.133332208,5.0101923,4.046808034,3.445662023,2.354651483,3.650259302,1.205307315,11.2472611,0.312056951,0.35168548,,54.35256834,4.062036684,0.074052478,5.234128492,1.606105081,,0.385318002,0.401415893,3.184682689,6.083582716,37.67461385,0.636806038,0.085873524,0.082609067,0.837422228,,0.031141875,1.511112728,,,0.125022659,0.414529684,1.795140054,,5.430299649,1.851873658,1.449590601,0.621174875,0.338463204,0.290481377,0.120373322,,5.345003647,0.013652865,7.986298536,11.91790179,5.053561889,0.469454576,0.024197055,0.148736094,,2.785386974,2.649611934,4.376652548,,0.018924838,0.317273544,,0.976514419,0.122951592,0.206739875,1.070833567,0.401759309,7.853126531,1.236014633,108.9690775,0.05008578,3.789416252,8.708787928,0.011226728,,0,,0.229124109,9.389315987,0.203435755,0.202619646,0.154834348,1.468406487,0.251732864,3.107394935,0.155838632,0.122987715,1.987332322,9.274935327,3.643329404,0.124111673,0.042584001,6.426134315,0.777255635,2.026096866,0.210820667,0.181009242,1.948383437,0.029038573,7.848347524,4.858487698,0.838252756,1.338553739,2.376266527,0.091518214,0.248897391,,0.074408288,0.145504607,4.150978926,0.627304264,0.859215163,8.072051882,,,0.057290606,7.710230517,0.110825444,11.28572357,17.43036898,1.716461015,4.679290033,0.859227788,6.03436032,0.322872344,,,0.607820512,0.924419465,1.036834286
1965,0.105267593,1.080809976,0.532135027,,0.206778183,,2.518610422,2.66644164,1.858865353,10.07774489,10.00092258,5.246380687,5.161569975,9.081181092,6.359190102,0.053355411,0.863210683,5.964372127,11.19101428,0.803830672,0.054908122,3.813994987,,0.366734532,14.08865834,2.108782541,0,0.665052092,0.913943627,3.096224207,5.61172783,0.019889766,0.011750618,0.065280801,0.054733795,12.79493601,0.104805944,,0.047554282,0.031849291,1.973032382,0.691149994,1.250762346,0.068186788,0.203319165,,0.527791227,1.856026734,1.808965212,63.20923934,1.862977752,12.59435231,0.260967885,0.141556603,9.312502457,1.111591218,0.229919679,0.399435264,0.426054048,0.895875133,0.327157741,0.099359344,,14.86040291,0.026063284,3.729984042,,0.734035522,5.54269689,7.54570946,,0.854044632,0.394824075,0.063873369,1.750263432,12.62669856,0.217662192,,1.993724325,8.936921041,0.223810396,,0.416043045,0.181052432,0.114175314,1.656703173,0.071105581,0.312353207,1.333276328,6.038357917,7.256550655,0.307333515,0.243858441,2.177741249,2.332748608,4.809071375,5.475780657,3.683535222,1.710726587,3.885353094,1.298979217,11.59546045,0.261638084,0.205673228,,68.874747,4.173309009,0.075454221,5.492557277,1.58662863,,0.432629154,0.596974716,3.376864865,6.385304321,36.97126085,0.630262139,0.096321171,0.085094582,0.92181116,,0.034552358,1.448096054,,,0.166959915,0.40086841,1.758807521,,5.671054615,1.725287283,1.474438977,0.31249467,0.317922444,0.266249202,0.112221093,,5.681598897,0.015983333,8.178992295,12.98587597,5.187134521,0.374339582,0.022597621,0.235351266,,3.374201298,2.695315579,4.401733848,,0.043192412,0.324634879,,1.165306938,0.136852223,0.256388601,1.014422428,0.425678128,7.909949375,1.30153728,96.96343476,0.064253908,4.113438501,9.164877666,0.01422432,,0,,0.264346966,7.822981366,0.160183617,0.225843484,0.153241322,0.846829896,0.448702343,3.168033442,0.152276458,0.111930765,1.303629751,8.948917512,3.716546677,0.169299317,0.040366104,6.678412695,0.856024936,2.211648817,0.240683832,0.22890448,2.476383581,0.20758298,8.06655499,5.178189624,0.684052066,1.365251217,2.435965875,0.099865845,0.240469783,,0.072456762,0.141492676,5.591074271,0.551995588,0.871821658,8.295420103,,,0.07090339,8.097602025,0.126492402,11.47181616,17.9203372,2.057992999,4.788691045,0.637840299,6.268449108,0.350981503,,,0.644186982,1.069511846,1.1713572
1966,0.111538751,1.231280989,0.667615975,,0.268271677,,5.742472985,2.8153539,1.911264494,9.342733298,9.983562896,5.355698121,5.308228207,7.215690939,3.258633598,0.052705324,1.121495719,6.252373401,11.10241107,0.745942144,0.040729502,4.186732595,,0.401706444,12.84810854,2.057721822,0,0.73767451,1.350534464,4.360506941,5.863111346,0.019567799,0.014915867,0.074413857,0.059081443,12.91804553,0.087155781,,0.044615436,0.024795626,2.049030693,0.739565757,1.247870508,0.083512256,0.247786841,,0.599817843,1.82696753,1.843082699,58.2949921,1.994487331,12.48713882,0.265114116,0.133905645,10.44082409,1.212023608,0.226424422,0.418776601,0.439738919,0.839277804,0.399150634,0.085063197,,15.5273976,0.032468734,3.780855397,,0.668072262,6.43609142,7.813105767,,1.182135489,0.685670484,0.069900986,1.818552116,12.41761869,0.179558779,,2.185354839,9.722868945,0.297004823,,0.356289818,0.183349588,0.115629191,1.778840572,0.069828523,0.32558194,1.400832912,6.06414794,7.642816959,0.311889829,0.225712153,2.523885081,3.235501351,5.265045066,5.503303871,4.124358062,1.98778496,4.172967124,1.348346223,11.91780215,0.273406916,0.201954876,,62.11387836,4.273840183,0.096309399,5.743290609,1.688489154,,0.463442436,1.509974245,3.223083821,6.676333302,34.85246,0.691518745,0.097482322,0.102251045,1.052906563,,0.03281282,1.281894093,,,0.180497177,0.354826964,1.829873254,,5.903800618,1.675236286,1.444639857,0.62885094,0.397386848,0.276241693,0.112900158,,5.476831091,0.016610871,8.33340911,15.49054416,5.215515379,0.446343563,0.032476925,0.252707276,,3.540592833,2.634038121,5.206421291,,0.048247188,0.3219152,,1.225876774,0.150011666,0.233538483,1.091780254,0.477799137,8.012453455,1.332504377,85.8088698,0.06906403,4.374828935,9.61064779,0.012766473,,0,,0.298717975,8.40045854,0.19708037,0.19287691,0.15147381,1.238547548,0.442453028,3.111040868,0.14868923,0.116918625,0.251158195,8.820703435,3.649261949,0.164924058,0.041515775,6.4798577,1.004825389,2.390991289,0.235377493,0.241789285,3.298288082,0.505238667,9.273359198,5.320413795,0.886123663,1.439904113,2.487305063,0.114347169,0.296872194,,0.095375302,0.137754718,4.298222256,0.633461802,0.979268658,8.49390337,,,0.080432803,8.471583824,0.140530056,11.32824438,18.61754234,1.994362826,4.881156717,0.999987004,5.691318826,0.499661224,,,0.555918586,0.926018085,1.316522136
1967,0.128061554,1.255602143,0.653758612,,0.170194679,,9.157537693,2.877178878,1.94936581,11.46399651,10.35476848,5.411822448,5.420279813,10.75241629,4.899080599,0.054281101,1.40901529,6.494745248,11.28307054,1.085260881,0.050250744,4.324406821,,0.440112133,15.41433371,2.048747103,0,0.739254023,0.439486626,3.737885537,6.584083607,0.019245441,0.014546374,0.064959709,0.076651604,13.80028959,0.070286363,,0.047439976,0.033870994,2.062807974,0.604759677,1.276201911,0.08166868,0.252231067,,0.51302356,1.835342039,1.87545838,70.8465269,2.170321573,12.43339063,0.279882035,0.123905749,10.14046286,0.725736168,0.334306569,0.381341454,0.457528445,0.606320939,0.344987839,0.083171733,,16.06269715,0.041187496,4.52650803,,0.718170276,6.205129118,8.227586399,,1.313552526,1.791700033,0.067973253,1.869027322,12.13147981,0.181947949,,2.289744845,10.09693249,0.370187013,,0.394475786,0.181787429,0.083072308,1.959369778,0.058654784,0.343572534,1.608669661,5.7579898,7.261757395,0.305670024,0.230941342,2.597482656,2.07639666,5.687218259,5.251936006,4.477143097,2.158071686,4.819440088,1.116395929,12.14086084,0.264521323,0.399781779,,40.91931969,4.3380099,0.127921083,5.949336277,1.617917921,,0.451817082,10.39718247,3.11573432,6.919046558,33.82494934,0.73230854,0.13812214,0.085251464,1.05693061,,0.037955356,1.625139387,,,0.193035653,0.63109741,1.971342246,,6.092066902,1.794863449,1.443295763,0.632378322,0.383302191,0.238094905,0.142130341,,7.790644423,0.018139095,8.482347135,14.6996008,5.000297226,0.486930831,0.030694298,0.24612007,,3.790641027,2.626760222,5.101071732,,0.217943483,0.332710395,,1.218987946,0.18772547,0.216663213,1.092830373,0.526012515,8.154183772,1.399130889,80.99058376,0.082294705,4.756370198,9.985236558,0.011354963,,0,,0.332228457,9.662083255,0.194104808,0.18893276,0.149420912,4.736178565,0.174878166,3.115551329,0.145042852,0.0964816,1.446610569,8.733680788,3.652916191,0.20652984,0.066003273,6.553437693,1.14972216,2.632821669,0.254524066,0.282786687,3.881322391,0.554562809,8.744489793,5.426833685,0.804290387,1.578543381,2.516575757,0.142399099,0.369986109,,0.101095258,0.179333129,4.8491076,0.661450493,1.013704454,8.626012376,,,0.086143169,8.775134707,4.785688909,10.78892525,19.1217586,1.785897966,4.936473565,1.062551222,6.359741433,0.584539237,,,0.479286007,1.227184458,1.118234885
1968,0.119381954,1.397972002,0.6860903,,0.28449936,,15.7885665,2.98573472,1.956207859,10.66923374,10.70635195,5.705178769,5.452415276,9.837660768,5.231948615,0.060405666,1.832725454,6.634650784,12.39372666,0.893446549,0.053043239,4.456807849,,0.495779574,13.94682358,2.162007828,0,0.842512931,1.69453116,3.491984621,7.046867801,0.018920647,0.01639424,0.074886592,0.08252229,14.62774159,0.108690165,,0.092747425,0.035324107,2.233808727,0.63496208,1.337164221,0.079662218,0.342420582,0,0.590093109,1.952497687,1.87356306,65.02849827,2.564937734,12.98656237,0.316329994,0.176945569,10.94404501,0.947065827,0.328781874,0.554802231,0.534291118,0.688837692,0.365875157,0.092958059,,16.33209067,0.064416982,4.868456019,,0.781652994,7.191669449,8.423952096,,1.401139923,3.417298483,0.073404641,1.889011757,12.68306419,0.209250201,,2.616120017,12.68527183,0.406880956,,0.41416033,0.183771528,0.106753503,1.939094924,0.058402669,0.466339456,1.616570289,5.963606433,7.908830551,0.326319624,0.252546477,3.063392553,2.151093934,6.13923852,5.137793597,4.731620531,2.140205683,5.465050966,1.100506057,12.17500751,0.265256513,0.594044424,,33.98725916,4.333045641,0.066066396,6.0611451,1.632548598,,0.635372337,16.55189396,3.689970516,7.050269074,36.37188989,0.723568126,0.145453461,0.088147194,1.072178981,,0.033121507,2.004496078,,,0.221981781,0.793197961,1.990386458,,6.18655112,2.0157574,1.527465257,0.6359455,0.387865434,0.345490633,0.112378572,,7.575063613,0.021120411,8.913625935,17.82923945,4.887899844,0.537118666,0.036471634,0.124523307,,4.16908613,2.76671694,5.532508206,,0.252942127,0.371347803,,1.409106619,0.211324113,0.256228911,1.127954461,0.625202332,8.61423993,1.472806072,76.0594268,0.079234148,5.128253742,10.20922119,0.015008151,,0.653235871,,0.364940239,7.487274754,0.22957873,0.212169029,0.196095747,5.188451164,0.023830531,3.305463391,0.141445337,0.135737192,2.578772236,9.078311159,3.87276912,0.223451422,0.043565035,6.553456586,1.191083596,2.925943241,0.273330849,0.267367892,4.081661359,0.662411715,9.776793903,5.929480947,1.006965497,1.691571056,2.504056559,0.129654987,0.505088286,,0.095248839,0.175668225,4.171648415,0.750741431,1.070281541,8.620544496,,,0.101205915,8.94287439,5.815564982,10.99323203,19.62221495,1.771118897,4.913635718,0.76163459,6.143935707,0.587887191,,,1.785922567,1.133632137,1.305208165
1969,0.089688026,1.434331106,0.834851875,,0.469453237,,19.71698409,3.291104629,1.989614591,13.99646048,11.11914081,6.000330138,5.562426904,10.07728154,5.867205671,0.056922362,1.994979093,6.865942409,12.87432366,1.147488256,0.068054273,3.869289737,,0.567575653,17.76728893,2.213519288,0,0.894553821,2.009432927,3.806752492,7.789067416,0.021920875,0.021399188,0.201266283,0.090925693,14.60112561,0.131338772,,0.092435441,0.044843723,2.333347383,0.758247957,1.373869032,0.077626461,0.370266556,0.547792285,0.634673483,2.015445739,1.97979162,84.06573079,2.622086897,13.76874765,0.359761445,0.186282852,12.12024043,0.62243888,0.269384034,0.609057665,0.598445532,0.578445289,0.33707566,0.137897292,,16.82400289,0.060529477,5.590750046,,0.83595769,8.19497115,8.852066729,,1.416658612,2.450447122,0.092725906,1.934588107,13.48503127,0.195542104,,2.983097388,9.220967669,0.481252842,,0.429158596,0.180319667,0.099721032,1.96387798,0.068506532,0.435184818,1.988386479,6.065311361,6.214805963,0.32534133,0.297480377,3.003894018,2.384924262,6.339812641,5.294597835,5.087799114,2.325774072,6.274758572,1.198013131,12.39805462,0.283208982,0.195156594,,36.08063587,4.389872143,0.122035396,6.257126532,1.869376454,,0.891450116,19.06901515,4.259266466,7.275642922,38.96842547,0.701034873,0.131737569,0.084372198,0.908177995,,0.026596219,2.060911909,,,0.252380533,0.69943967,2.097453989,,6.367979803,2.125229914,1.567734898,0.64,0.391033612,0.393992161,0.120504981,,10.13398894,0.032650761,8.989974497,14.59542042,5.116726099,0.543218536,0.041919501,0.222585229,,4.38735294,2.827361093,5.768337587,,0.358785972,0.350459773,,1.391552717,0.229102374,0.220854801,1.156773265,0.625857214,9.093198862,1.664296155,68.56874958,0.105439548,5.65792302,10.57746131,0.015517702,,0,,0.613040697,6.041773543,0.301793547,0.208690204,0.192692515,6.034550458,0.115575642,3.400426631,0.138008965,0.397996111,3.397584407,9.578629181,3.983411325,0.217578489,0.044471121,6.595161658,1.3307903,2.889349482,0.356054649,0.349439115,4.136358938,0.704992976,10.81990622,6.199811987,1.18346739,1.798629933,2.524851251,0.136294784,0.417965226,,0.114039895,0.129322211,3.986340255,0.78371781,1.116085224,8.729377156,,,0.117463343,9.242200121,80.97338319,11.33844488,20.39401084,2.014955531,4.956810209,0.521256669,6.26020369,0.659637435,,,0.700526417,1.026903778,1.336971069
