"iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"AGO",2001,4957.59796503645368195,3009344.499133521566727
"ARG",2001,5979.94749753339773088,2277355.8845823139286095
"AUS",2001,0.07592236710015192,132.9056439340396
"BDI",2001,6.22292964949001776,3306.677508190147515
"BES",2001,0.1469319746592882,63.87431752733426
"BGD",2001,384.77334921171979690,223971.969768319247495
"BHS",2001,0.28678775083984374,49.98059827986376
"BLZ",2001,1271.34564506978521319,600483.50325122048891
"BOL",2001,36529.52787798364965750,20416864.119300392626416
"BRA",2001,465542.98364393971565437,294951455.3061270664443145
"BRN",2001,256.08653660094812523,210535.30196741355024
"BTN",2001,69.41099623881293659,47101.579304119915679
"CAF",2001,3939.63629390937060357,2677156.261899137780909
"CHN",2001,867.20313471069951120,473096.518697622579324
"CIV",2001,14045.21730711847810522,6177318.484288639746844
"CMR",2001,8286.75606657634208074,5191278.277022018209265
"COD",2001,92019.98712526895015292,62649722.559090370028035
"COG",2001,7398.98975925831482143,4623300.470924991762390
"COL",2001,24081.67027605066399871,15068158.881170152185957
"CRI",2001,522.07243540316896673,303947.418429373915133
"CUB",2001,475.24672877172131345,163253.61503953302514916
"CYM",2001,2.24888464985785620,588.172103564998755
"DMA",2001,5.04974570282118086,3047.801837340283120
"DOM",2001,235.77704186081698387,104579.25830155026151
"ECU",2001,4701.19220068923103666,3191578.733638513670222
"ETH",2001,1399.27059449023200770,917590.822498216409276
"FJI",2001,12.56193164559895839,7007.64436924647241
"GAB",2001,5117.83666954909781473,3213755.965406091504321
"GHA",2001,1699.57326382970029698,798352.405575200877566
"GIN",2001,287.97542793233335171,144898.85527603903042263
"GLP",2001,3.1064585997998047,1677.7707931386376
"GNB",2001,8.52683887830675115,2455.589355146148454
"GNQ",2001,603.18416413092918692,379520.045849803094074
"GTM",2001,3978.86653208111525283,2071777.022016252470373
"GUF",2001,901.77611951122821913,725372.960165054625454
"GUY",2001,1834.78657925390565060,1254373.572019627844777
"HND",2001,4747.46372050828199808,2638703.757122280600922
"HTI",2001,9.89033936289062575,4972.700063316864886
"IDN",2001,114393.78862800683291303,109240792.620352142811140
"IND",2001,5541.94205918916185906,3322413.282448110705563
"JAM",2001,89.57468488645834239,51026.309185841540024
"KEN",2001,2390.69343360198920858,1378695.50659904856061
"KHM",2001,8908.21938988077330146,5267248.688973984907596
"KNA",2001,1.98641194428059909,986.13289329729690
"LAO",2001,10263.04417050624934687,6266192.166670730534597
"LBR",2001,2080.51122607954621709,1062288.351860293997428
"LCA",2001,1.04632296464463973,633.28336559265078
"LKA",2001,115.75726964476180453,49328.38766153712526
"MAF",2001,0.4393774783344184,173.80225898311363
"MDG",2001,21193.78309873169875967,11483276.646552819187215
"MDV",2001,0.07640892191650392,0.0
"MEX",2001,8045.03618630628406842,3956957.361667628855068
