Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","001","World","5111","Stocks","02112","Buffalo","1961","1961","An","88321107","A","Official figure",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02112","Buffalo","1962","1962","An","89302243","A","Official figure",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02112","Buffalo","1963","1963","An","89767851","A","Official figure",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02112","Buffalo","1964","1964","An","93361014","A","Official figure",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02112","Buffalo","1965","1965","An","94373055","A","Official figure",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02112","Buffalo","1966","1966","An","98894685","A","Official figure",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02112","Buffalo","1967","1967","An","101172466","A","Official figure",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02112","Buffalo","1968","1968","An","104400753","A","Official figure",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02112","Buffalo","1969","1969","An","106224223","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02112","Buffalo","1970","1970","An","107262244","A","Official figure",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02112","Buffalo","1971","1971","An","108708021","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02112","Buffalo","1972","1972","An","109633050","A","Official figure",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02112","Buffalo","1973","1973","An","111123800","A","Official figure",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02112","Buffalo","1974","1974","An","113043535","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02112","Buffalo","1975","1975","An","113029716","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02112","Buffalo","1976","1976","An","113820907","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02112","Buffalo","1977","1977","An","114840553","A","Official figure",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02112","Buffalo","1978","1978","An","116637097","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02112","Buffalo","1979","1979","An","118973188","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02112","Buffalo","1980","1980","An","121493490","A","Official figure",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02112","Buffalo","1981","1981","An","124211642","A","Official figure",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02112","Buffalo","1982","1982","An","127542101","A","Official figure",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02112","Buffalo","1983","1983","An","130092245","A","Official figure",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02112","Buffalo","1984","1984","An","133173256","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02112","Buffalo","1985","1985","An","136241549","A","Official figure",""
